Pseudomonas_D oceani,Halopseudomonas oceani,1708783
Pseudomonas_D,uncultured Pseudomonas sp.,114707
Pseudomonas_E extremaustralis,Pseudomonas extremaustralis,359110
Pseudomonas_E hunanensis,Pseudomonas hunanensis,1247546
Pseudomonas_E laurentiana,Pseudomonas laurentiana
Pseudomonas_E mohnii,Pseudomonas mohnii,395600
Pseudomonas_E qingdaonensis,Pseudomonas qingdaonensis,2056231
Pseudomonas_E,uncultured Pseudomonas sp.,114707
Pseudopelobacteraceae,Desulfuromonadaceae bacterium,2099677
Puniceispirillales,uncultured Candidatus Puniceispirillum sp.,1985115
Rariloculaceae,Candidatus Rariloculaceae bacterium,3107225
Rariloculales,Candidatus Rariloculales bacterium,3107226
Rariloculus,Candidatus Rariloculus sp.,3101265
Rariloculus versatilis,Candidatus Rariloculus versatilis,2978115
Rhodobacteraceae,Paracoccaceae bacterium,1904441
Rhodobacter_B,uncultured Rhodobacter sp.,204728
Rhodospirillales_A,Rhodospirillales bacterium,2026786
Rickettsiales_A,Rickettsiales bacterium,2026788
Robiginitomaculum_A,Robiginitomaculum sp.,2030823
Roseibium aggregatum_A,Roseibium aggregatum,187304
Roseitalea stylonematis,Oceaniradius stylonematis,2184161
Rubrobacter_A,Rubrobacter sp.,2036010
Saccharimonadales,Candidatus Saccharimonadales bacterium,2973664
Saccharofermentanales,uncultured Saccharofermentans sp.,1434378
Sedimenticolaceae,Sedimenticolaceae bacterium,3071850
Sediminihaliea,Sediminihaliea sp.,2893102
Sphingorhabdus_C,Sphingorhabdus sp.1902408
Spirochaeta_F,uncultured Spirochaeta sp.,174390
Spirochaetaceae_B,Spirochaetaceae bacterium,1898206
Spirochaetales_E,Spirochaetales bacterium,2026792
Spiroplasma_C,Spiroplasma sp.,2135
Spongiihabitans,Candidatus Spongiihabitans sp.,3101308
Spongiisociaceae,Candidatus Spongiisociaceae bacterium,3107240
Spongiisocius,Candidatus Spongiisocius sp.,3101273
Sulfurimonadaceae,Sulfurimonadaceae bacterium,2771476
Sulfurospirillum_A,uncultured Sulfurospirillum sp.,197506
Synechococcus_B spongiarum_B,Candidatus Synechococcus spongiarum,431041
Synechococcus_B spongiarum_E,Candidatus Synechococcus spongiarum,431041
Synechococcus_B,uncultured Synechococcus sp.,154535
